aX,aY,aZ,gX,gY,gZ
-0.023,0.271,0.942,11.230,7.812,1.770
-0.034,0.264,0.920,9.155,8.118,0.793
-0.065,0.254,0.911,7.568,7.935,0.427
-0.075,0.249,0.904,4.700,7.629,0.488
-0.068,0.250,0.904,1.160,9.155,1.465
-0.054,0.250,0.903,-1.343,8.606,2.747
-0.053,0.252,0.914,-3.113,8.057,3.601
-0.047,0.251,0.927,-3.601,5.127,3.479
-0.034,0.239,0.940,-3.723,5.432,3.174
-0.024,0.237,0.960,-4.700,8.911,2.686
-0.030,0.256,0.978,-5.005,10.742,2.441
-0.025,0.265,0.984,-5.066,13.855,3.052
-0.021,0.255,0.982,-4.211,15.381,3.784
-0.011,0.242,0.980,-4.395,14.099,3.967
-1.352,1.269,0.542,121.643,116.943,15.869
-1.420,1.592,0.413,151.184,114.929,47.546
-1.346,1.862,0.256,163.391,104.065,78.796
-1.138,2.029,0.214,154.846,78.430,108.093
-0.794,2.097,0.253,124.817,44.922,133.057
-0.350,2.052,0.332,81.604,13.000,148.743
0.031,1.949,0.419,34.363,-12.207,148.499
0.294,1.838,0.476,-8.728,-27.588,129.150
0.405,1.717,0.546,-38.269,-30.090,96.436
0.334,1.626,0.653,-52.979,-13.855,55.786
0.160,1.537,0.786,-55.359,6.592,16.052
-0.021,1.418,0.915,-51.941,21.545,-11.719
-0.145,1.266,1.017,-46.143,29.785,-26.123
-0.210,1.121,1.101,-36.682,25.818,-30.396
-0.225,0.990,1.150,-20.935,11.169,-29.114
-0.210,0.881,1.140,-0.916,-13.123,-26.794
-0.192,0.810,1.078,22.949,-27.954,-28.748
-0.196,0.767,1.010,51.392,-32.166,-35.889
-0.222,0.752,0.949,78.186,-33.813,-46.509
-0.264,0.759,0.912,96.558,-38.452,-56.152
-0.329,0.776,0.883,103.699,-36.926,-60.303
-0.362,0.785,0.843,101.746,-30.823,-56.702
-0.352,0.808,0.825,90.027,-23.254,-50.049
-0.344,0.835,0.826,76.294,-15.503,-46.326
-0.368,0.866,0.826,59.326,-10.376,-45.349
-0.411,0.865,0.836,44.495,-10.376,-43.579
-0.408,0.832,0.828,33.203,-8.301,-39.063
-0.344,0.807,0.796,29.114,-10.925,-34.241
-0.258,0.832,0.779,31.128,-12.451,-36.499
-0.175,0.906,0.789,37.354,-20.935,-50.537
-0.128,0.962,0.792,47.485,-27.771,-72.632
-0.116,1.004,0.750,57.251,-32.593,-96.375
-0.141,1.029,0.714,61.462,-39.246,-118.469
-0.217,1.046,0.667,58.472,-36.865,-136.719
-0.322,1.051,0.632,48.584,-31.067,-147.339
-0.383,1.001,0.575,35.583,-26.550,-148.804
-0.404,0.920,0.521,20.447,-14.465,-143.738
-0.398,0.845,0.517,4.700,-12.634,-139.221
-0.382,0.752,0.555,-5.066,-13.367,-137.268
-0.357,0.637,0.573,-13.000,-20.142,-134.155
-0.334,0.513,0.606,-19.592,-35.400,-128.357
-0.317,0.393,0.657,-22.461,-50.415,-121.765
-0.260,0.257,0.692,-22.583,-66.406,-115.662
-0.203,0.127,0.757,-23.376,-82.092,-110.657
-0.194,0.003,0.854,-26.794,-94.604,-108.704
-0.166,-0.079,0.950,-28.503,-100.281,-107.056
-0.127,-0.165,1.031,-23.254,-97.290,-104.492
-0.119,-0.213,1.095,-10.986,-93.689,-102.783
-0.089,-0.268,1.099,3.601,-94.299,-103.394
-0.023,-0.308,1.093,14.832,-82.397,-109.619
-0.009,-0.312,1.098,21.912,-68.787,-117.554
-0.033,-0.341,1.089,21.606,-64.636,-122.009
-0.044,-0.407,1.096,13.733,-63.232,-124.756
-0.070,-0.473,1.113,1.038,-55.908,-123.291
-0.064,-0.542,1.124,-13.855,-43.701,-119.446
-0.060,-0.619,1.185,-28.992,-32.349,-114.014
-0.095,-0.674,1.255,-46.387,-26.611,-106.079
-0.113,-0.754,1.341,-60.242,-21.851,-99.548
-0.161,-0.794,1.429,-71.045,-14.160,-90.759
-0.150,-0.810,1.485,-71.472,-4.272,-76.782
-0.132,-0.804,1.523,-59.326,3.540,-59.082
-0.105,-0.751,1.522,-33.569,14.099,-43.640
-0.050,-0.629,1.468,3.113,24.109,-35.278
-0.054,-0.486,1.333,45.654,25.146,-30.457
-0.094,-0.314,1.190,81.787,23.682,-28.381
-0.141,-0.165,1.045,103.760,17.090,-24.902
-0.188,-0.033,0.898,111.816,19.592,-16.357
-0.194,0.120,0.767,108.887,19.409,-5.493
-0.165,0.246,0.667,94.299,17.822,5.249
-0.134,0.332,0.622,71.960,19.958,15.259
-0.112,0.374,0.627,45.166,13.428,23.804
-0.079,0.388,0.662,19.043,8.972,32.349
-0.031,0.413,0.693,-2.258,3.601,39.368
0.016,0.430,0.736,-13.367,4.517,42.908
0.057,0.435,0.779,-17.517,-4.700,43.030
0.099,0.422,0.833,-17.883,-4.761,40.283
0.108,0.414,0.872,-15.015,-10.315,35.034
0.098,0.409,0.894,-13.123,-13.733,28.442
0.075,0.387,0.910,-11.230,-8.179,21.362
0.041,0.358,0.908,-12.085,-12.268,14.465
0.025,0.338,0.913,-14.160,-7.507,8.118
0.004,0.335,0.924,-14.771,-6.653,3.174
-0.035,0.344,0.958,-17.029,-10.254,0.549
-0.056,0.336,0.982,-17.700,-6.592,1.587
-0.060,0.313,1.007,-17.883,-4.761,7.751
-0.032,0.299,1.038,-15.015,-4.944,14.099
-0.009,0.285,1.058,-9.949,-8.606,17.578
0.013,0.275,1.060,-1.343,-2.808,18.188
0.019,0.276,1.049,8.667,-1.892,15.076
0.017,0.278,1.024,12.817,-5.615,10.132
-0.004,0.281,1.005,12.756,2.625,5.310
-0.029,0.278,0.976,9.949,9.583,1.343
-0.055,0.282,0.951,6.836,13.245,-1.343
-0.081,0.294,0.934,4.211,13.306,-3.296
-0.093,0.294,0.925,2.808,10.376,-2.930
-0.075,0.280,0.913,1.404,3.906,-0.244
-0.064,0.283,0.915,-0.610,1.709,2.197
-0.043,0.289,0.915,-1.343,2.502,3.601
-0.040,0.288,0.918,1.038,6.042,4.944
-0.044,0.305,0.907,5.005,10.132,6.348
-0.025,0.324,0.883,9.033,14.160,8.118
-0.011,0.340,0.852,11.780,14.893,8.057
-0.024,0.347,0.837,10.559,11.536,6.348
-0.055,0.354,0.835,5.127,5.188,5.859
-0.056,0.353,0.846,-1.953,1.038,7.446
-0.043,0.346,0.873,-5.676,3.357,9.521
-0.022,0.340,0.899,-6.897,5.005,10.437
-0.007,0.354,0.921,-5.920,0.732,9.460
0.001,0.350,0.941,-2.808,-2.625,7.202
-0.002,0.339,0.969,-0.916,-6.226,5.493
0.007,0.326,0.970,-0.854,-4.517,4.822
0.011,0.310,0.969,0.610,-3.418,4.578
0.006,0.309,0.968,3.723,-2.136,3.845
-0.008,0.302,0.949,5.737,2.380,2.441
-0.012,0.286,0.938,5.127,9.155,2.197
-0.037,0.277,0.928,2.136,8.179,2.869
-0.031,0.261,0.927,0.183,6.409,3.845
-0.036,0.245,0.932,-0.122,1.404,5.432
-0.029,0.240,0.940,2.441,-2.808,6.958
-0.124,-0.990,1.350,-42.725,14.587,-90.576
-0.172,-0.905,1.347,-12.573,15.442,-76.904
-0.293,-0.757,1.299,21.606,10.132,-61.829
-0.343,-0.603,1.211,52.185,5.920,-36.804
-0.288,-0.442,1.082,74.890,-2.686,-5.859
-0.211,-0.233,0.954,87.036,-9.521,18.066
