aX,aY,aZ,gX,gY,gZ
0.366,-1.079,0.252,-18.066,55.420,-58.899
0.264,-1.035,0.286,-31.616,56.519,-48.462
0.011,-0.963,0.278,-44.434,62.866,-32.532
-0.246,-0.639,0.396,-56.213,63.293,-21.851
-0.195,-0.831,0.419,-37.598,54.443,-35.400
-0.048,-0.817,0.391,-41.260,42.114,-50.964
0.087,-0.733,0.385,-71.350,29.419,-53.528
-0.122,-0.243,0.435,-64.453,39.612,-76.599
-0.039,0.240,0.135,53.284,101.807,-117.981
0.041,-0.748,-0.014,289.917,137.512,-189.331
-0.025,-1.747,-0.204,380.066,155.457,-209.106
-0.018,-1.897,-0.258,308.167,160.278,-156.372
-0.091,-1.564,-0.244,195.862,148.071,-74.341
-0.049,-1.168,0.037,70.190,107.727,-21.729
0.231,-0.957,0.085,-52.734,68.176,-27.527
0.370,-0.978,-0.032,-142.761,43.884,-62.805
0.304,-1.045,0.079,-148.376,1.404,-85.449
0.030,-1.002,0.364,-120.483,-39.490,-86.975
-0.133,-0.948,0.523,-133.057,-46.448,-92.041
-0.149,-0.968,0.645,-155.701,-28.809,-99.670
-0.164,-1.024,0.649,-173.706,-4.700,-106.079
-0.186,-1.200,0.549,-187.073,24.231,-109.558
-0.271,-1.258,0.530,-177.979,42.603,-100.464
-0.398,-1.119,0.316,-159.668,41.992,-82.703
-0.536,-0.914,0.312,-166.565,26.489,-59.937
-0.518,-0.776,0.565,-158.691,-6.165,-50.232
-0.426,-0.697,0.695,-117.798,-36.682,-56.580
-0.381,-0.650,0.648,-90.393,-52.856,-68.726
-0.313,-0.672,0.682,-76.782,-60.486,-81.909
-0.129,-0.800,0.776,-72.998,-55.847,-103.027
-0.061,-1.027,0.841,-86.060,-38.086,-130.920
-0.295,-1.006,0.754,-101.074,-16.235,-151.306
-0.421,-0.912,0.620,-76.050,0.061,-146.790
-0.997,0.896,0.769,27.100,13.062,-72.083
-1.019,0.918,0.850,34.119,18.555,-92.651
-0.999,0.873,0.914,33.569,24.780,-107.300
-0.949,0.810,0.886,36.255,22.949,-118.530
-0.892,0.702,0.901,29.541,17.883,-127.441
-0.850,0.526,0.923,19.165,14.587,-135.498
-0.812,0.355,0.880,11.475,9.033,-144.836
-0.767,0.167,0.914,4.028,2.869,-150.635
-0.729,-0.007,0.818,6.836,-2.991,-153.870
-0.708,-0.146,0.816,1.831,-5.676,-153.870
-0.681,-0.319,0.772,9.827,-8.301,-150.513
-0.658,-0.411,0.726,20.630,-13.123,-145.691
-0.622,-0.427,0.736,23.987,-15.442,-139.709
-0.597,-0.469,0.749,30.762,-13.184,-135.925
-0.575,-0.514,0.775,40.100,-10.803,-135.803
-0.583,-0.476,0.765,44.434,-12.817,-135.132
-0.541,-0.530,0.794,43.701,-4.761,-126.160
-0.497,-0.547,0.829,44.861,8.057,-118.835
-0.473,-0.615,0.861,37.842,7.202,-114.685
-0.458,-0.651,0.870,24.780,-4.211,-111.023
-0.481,-0.700,0.867,8.789,-17.700,-109.009
-0.483,-0.830,0.860,2.930,-28.564,-103.333
-0.458,-0.922,0.873,0.305,-37.415,-88.684
-0.417,-0.926,0.952,-4.150,-46.509,-64.514
-0.357,-0.864,1.015,-0.305,-51.514,-39.795
-0.250,-0.833,1.088,18.005,-47.424,-28.442
-0.168,-0.772,1.200,37.292,-37.781,-27.283
-0.107,-0.710,1.269,39.063,-27.649,-22.705
-0.079,-0.724,1.237,29.480,-19.409,-10.925
-0.070,-0.763,1.190,14.832,-18.005,3.601
-0.080,-0.747,1.129,-3.662,-23.254,21.545
-0.090,-0.749,1.118,-22.400,-30.273,40.588
-0.062,-0.778,1.046,-24.536,-35.767,53.040
-0.036,-0.778,1.038,-17.822,-42.114,58.350
0.001,-0.743,1.026,-15.869,-45.532,62.256
0.045,-0.746,1.041,-12.695,-44.250,69.336
0.101,-0.742,1.059,-11.047,-39.612,82.031
0.164,-0.678,1.088,-12.878,-34.973,99.854
0.209,-0.594,1.101,-11.475,-30.334,117.371
0.246,-0.526,1.094,-10.803,-22.888,130.005
0.242,-0.466,1.099,-18.372,-14.893,141.785
0.239,-0.401,1.076,-28.992,-9.399,153.992
0.225,-0.363,1.044,-39.429,-6.470,166.626
0.219,-0.344,1.006,-46.936,-4.761,180.237
0.206,-0.289,0.988,-48.462,-1.099,192.688
0.174,-0.211,0.970,-40.161,7.141,198.486
0.127,-0.089,0.976,-24.841,19.714,197.144
0.073,0.030,0.987,-8.667,31.433,191.345
0.030,0.190,1.001,3.235,38.391,182.800
-0.040,0.347,1.000,5.676,40.100,173.401
-0.107,0.485,1.003,4.700,37.354,160.950
-0.145,0.603,1.026,-0.488,31.738,142.395
-0.174,0.656,1.024,-5.981,24.536,121.460
-0.163,0.673,1.048,-11.597,17.090,104.736
-0.124,0.693,1.076,-15.747,12.329,91.492
-0.132,0.724,1.090,-15.503,15.076,77.209
-0.175,0.739,1.084,-9.888,25.513,61.035
-0.252,0.782,1.058,-1.831,39.124,44.250
-0.322,0.854,1.031,10.254,51.758,28.503
-0.412,0.959,1.032,21.851,58.594,12.451
-0.501,1.078,1.036,25.085,59.875,-5.615
-0.538,1.119,1.008,22.156,59.448,-22.339
-0.597,1.114,0.977,10.498,56.091,-36.072
-0.611,1.053,0.979,-9.521,56.824,-43.579
-0.598,0.968,0.951,-17.944,52.734,-55.969
-0.567,0.872,0.910,-18.127,47.302,-68.726
-0.566,0.708,0.862,-10.803,43.640,-76.538
-0.460,0.632,0.891,-2.502,45.105,-92.163
-0.397,0.510,0.884,5.920,38.879,-101.257
