aX,aY,aZ,gX,gY,gZ
-0.107,-0.739,1.554,-37.048,261.292,150.818
-0.084,-0.668,1.553,-40.588,281.189,151.367
-0.039,-0.603,1.504,-44.922,290.161,149.658
0.014,-0.556,1.468,-54.199,289.490,148.193
0.068,-0.518,1.417,-64.331,284.241,146.729
0.103,-0.517,1.389,-73.303,276.550,144.531
0.115,-0.506,1.356,-78.918,265.991,144.531
0.081,-0.509,1.334,-83.801,251.648,146.484
0.031,-0.537,1.338,-92.163,234.619,146.057
0.014,-0.534,1.335,-105.652,219.116,141.846
0.031,-0.508,1.322,-120.850,211.609,135.864
0.002,-0.455,1.223,-137.451,212.036,133.911
-0.021,-0.396,1.108,-155.396,213.745,133.423
-0.044,-0.372,0.962,-168.579,214.294,128.418
-0.035,-0.346,0.834,-176.636,210.327,120.667
-0.025,-0.289,0.719,-178.406,202.698,115.479
-0.016,-0.184,0.618,-176.331,194.397,115.295
-0.009,-0.126,0.542,-171.143,186.768,114.075
-0.015,-0.054,0.445,-166.077,180.298,112.793
0.001,0.030,0.389,-164.734,173.950,110.657
-0.001,0.116,0.259,-159.119,168.030,106.934
-0.037,0.166,0.131,-153.076,159.302,101.501
-0.081,0.191,-0.004,-150.696,147.888,91.125
-0.107,0.208,-0.136,-146.790,133.972,74.829
-0.081,0.256,-0.245,-140.747,118.958,55.176
-0.020,0.309,-0.361,-127.930,107.117,33.936
0.042,0.371,-0.453,-113.342,98.999,16.357
0.093,0.408,-0.526,-96.436,96.741,2.930
0.129,0.424,-0.626,-76.782,97.717,-6.348
0.149,0.415,-0.698,-59.265,95.276,-13.367
0.179,0.425,-0.742,-46.753,88.684,-18.372
0.248,0.416,-0.758,-34.668,80.688,-22.217
0.328,0.390,-0.743,-22.095,72.571,-26.245
0.394,0.346,-0.708,-9.399,65.125,-28.992
0.473,0.314,-0.676,1.038,59.570,-29.907
0.526,0.277,-0.631,9.949,52.368,-30.579
0.579,0.236,-0.597,16.479,42.419,-31.189
0.628,0.212,-0.547,17.334,29.663,-30.334
0.663,0.211,-0.495,16.174,15.625,-28.076
0.692,0.199,-0.471,16.724,2.808,-26.428
0.710,0.182,-0.452,18.433,-4.578,-26.611
0.728,0.175,-0.430,23.376,-6.287,-27.039
0.754,0.161,-0.395,31.738,-5.310,-26.367
0.794,0.139,-0.340,39.612,-5.676,-26.367
0.854,0.105,-0.268,45.959,-10.071,-28.564
0.913,0.069,-0.190,49.805,-17.883,-30.762
0.965,0.060,-0.118,51.575,-27.588,-29.724
1.000,0.045,-0.048,51.208,-37.720,-26.184
1.000,0.035,-0.010,49.072,-46.021,-20.569
0.972,0.056,-0.008,45.105,-50.049,-12.512
